Acc. Nr.	specimen ID	Dep. Acc. Nr.	BOLD Process ID	COI-5P Accession	Institut
FBPIS249BayFi 3971	513591	FBPIS249	FBPIS249-10	HM392126	ZSM
FBPIS250BayFi 0282	513592	FBPIS250	FBPIS250-10	HM392127	ZSM
FBPIS251BayFi 1725	513593	FBPIS251	FBPIS251-10	HM392128	ZSM
FBPIS252BayFi 4752	513594	FBPIS252	FBPIS252-10	HM392129	ZSM
FBPIS253BayFi 6419	513595	FBPIS253	FBPIS253-10	HM392130	ZSM
FBPIS254BayFi 7371	513596	FBPIS254	FBPIS254-10	HM392131	ZSM
FBPIS255BayFi 0270	513597	FBPIS255	FBPIS255-10	HM392132	ZSM
FBPIS256BayFi 0625	513598	FBPIS256	FBPIS256-10	HM392133	ZSM
FBPIS257BayFi 4771	513599	FBPIS257	FBPIS257-10	HM392134	ZSM
FBPIS258BayFi 6888	513600	FBPIS258	FBPIS258-10	HM392135	ZSM
FBPIS259BayFi 7021	513601	FBPIS259	FBPIS259-10	HM392136	ZSM
FBPIS266BayFi 6849	513610	FBPIS266	FBPIS266-10	HM392141	ZSM
FBPIS267BayFi 6874	513611	FBPIS267	FBPIS267-10	HM392142	ZSM
FBPIS269BayFi 8123	513613	FBPIS269	FBPIS269-10	HM392144	ZSM
FBPIS270BayFi 2937	513621	FBPIS270	FBPIS270-10	HM392145	ZSM
FBPIS271BayFi 2941	513622	FBPIS271	FBPIS271-10	HM392146	ZSM
FBPIS272BayFi 4856	513623	FBPIS272	FBPIS272-10	HM392147	ZSM
FBPIS280BayFi 1828	513631	FBPIS280	FBPIS280-10	HM392154	ZSM
FBPIS281BayFi 5795	513632	FBPIS281	FBPIS281-10	HM392155	ZSM
FBPIS283BayFi 7835	513634	FBPIS283	FBPIS283-10	HM392157	ZSM
FBPIS285BayFi 0015	513636	FBPIS285	FBPIS285-10	HM392159	ZSM
FBPIS286BayFi 6595	513637	FBPIS286	FBPIS286-10	HM902191	ZSM
FBPIS287BayFi 8315	513638	FBPIS287	FBPIS287-10	HM902192	ZSM
FBPIS288BayFi 8327	513639	FBPIS288	FBPIS288-10	HM902193	ZSM
FBPIS289BayFi 1804	513640	FBPIS289	FBPIS289-10	HM902194	ZSM
FBPIS293BayFi 7484	513644	FBPIS293	FBPIS293-10	HM902198	ZSM
FBPIS294BayFi 8721	513097	FBPIS294	FBPIS294-10	HM902199	ZSM
FBPIS295BayFi 8722	513095	FBPIS295	FBPIS295-10	HM902200	ZSM
FBPIS296BayFi 8723	513096	FBPIS296	FBPIS296-10	HM902201	ZSM
FBPIS299BayFi 9039	513212	FBPIS299	FBPIS299-10	HM902202	ZSM
FBPIS300BayFi 9040	513213	FBPIS300	FBPIS300-10	HM902203	ZSM
FBPIS301BayFi 9041	513214	FBPIS301	FBPIS301-10	HM902204	ZSM
FBPIS303BayFi 9043	513216	FBPIS303	FBPIS303-10	HM902206	ZSM
FBPIS304BayFi 9044	513117	FBPIS304	FBPIS304-10	HM902207	ZSM
FBPIS305BayFi 9045	513118	FBPIS305	FBPIS305-10	HM902208	ZSM
FBPIS306BayFi 9046	513119	FBPIS306	FBPIS306-10	HM902209	ZSM
FBPIS307BayFi 9047	513401	FBPIS307	FBPIS307-10	HM902210	ZSM
FBPIS308BayFi 9048	513402	FBPIS308	FBPIS308-10	HM902211	ZSM
FBPIS309BayFi 9051	513210	FBPIS309	FBPIS309-10	HM902212	ZSM
FBPIS310BayFi 9052	513211	FBPIS310	FBPIS310-10	HM902213	ZSM
FBPIS316BayFi 8655	513545	FBPIS316	FBPIS316-10	HM902218	ZSM
FBPIS319BayFi 8683	513548	FBPIS319	FBPIS319-10	HM902220	ZSM
FBPIS326BayFi 8550	513555	FBPIS326	FBPIS326-10	HM902227	ZSM
FBPIS329BayFi 8579	513538	FBPIS329	FBPIS329-10	HM902230	ZSM
FBPIS335BayFi 8609	513559	FBPIS335	FBPIS335-10	HM902236	ZSM
FBPIS338BayFi 8645	513562	FBPIS338	FBPIS338-10	HM902239	ZSM
FBPIS343BayFi 8848	513567	FBPIS343	FBPIS343-10	HM902244	ZSM
FBPIS348BayFi 8893	513572	FBPIS348	FBPIS348-10	HM902249	ZSM
FBPIS354BayFi 8918	513578	FBPIS354	FBPIS354-10	HM902255	ZSM
FBPIS365DNABANK-Pis-MG-013	513346	FBPIS365	FBPIS365-10	HM902266	ZSM
FBPIS368DNABANK-Pis-MG-080107-033	513349	FBPIS368	FBPIS368-10	HM902268	ZSM
FBPIS370BayFi 0058	513284	FBPIS370	FBPIS370-11	KM373644	ZSM
FBPIS371BayFi 0104	513222	FBPIS371	FBPIS371-11	KM373660	ZSM
FBPIS373BayFi 0393	513135	FBPIS373	FBPIS373-11	KM373672	ZSM
FBPIS374BayFi 0463	513423	FBPIS374	FBPIS374-11	KM373677	ZSM
FBPIS377BayFi 0680	513350	FBPIS377	FBPIS377-11	KM373650	ZSM
FBPIS378BayFi 0877L	513136	FBPIS378	FBPIS378-11	KM373665	ZSM
FBPIS379BayFi 0886R	513448	FBPIS379	FBPIS379-11	KM373662	ZSM
FBPIS382BayFi 10235	513498	FBPIS382	FBPIS382-11	KM373679	ZSM
FBPIS383BayFi 10236	513499	FBPIS383	FBPIS383-11	KM373685	ZSM
FBPIS384BayFi 10237	513500	FBPIS384	FBPIS384-11	KM373663	ZSM
FBPIS388BayFi 11083	513403	FBPIS388	FBPIS388-11	KM373653	ZSM
FBPIS389BayFi 11084	513404	FBPIS389	FBPIS389-11	KM373655	ZSM
FBPIS390BayFi 11085	513405	FBPIS390	FBPIS390-11	KM373678	ZSM
FBPIS398BayFi 1300	513424	FBPIS398	FBPIS398-11	KM373671	ZSM
FBPIS407BayFi 1928	513231	FBPIS407	FBPIS407-11	KM373648	ZSM
FBPIS416BayFi 2531	513139	FBPIS416	FBPIS416-11	KM373640	ZSM
FBPIS418BayFi 2584	513140	FBPIS418	FBPIS418-11	KM373639	ZSM
FBPIS419BayFi 2607	513451	FBPIS419	FBPIS419-11	KM373664	ZSM
FBPIS430BayFi 3751	513454	FBPIS430	FBPIS430-11	KM373657	ZSM
FBPIS438BayFi 4054	513370	FBPIS438	FBPIS438-11	KM373674	ZSM
FBPIS441BayFi 4220	513616	FBPIS441	FBPIS441-11	KM373642	ZSM
FBPIS447BayFi 4623	513148	FBPIS447	FBPIS447-11	KM373656	ZSM
FBPIS473BayFi 6105	513460	FBPIS473	FBPIS473-11	KM373651	ZSM
FBPIS476BayFi 6308	513617	FBPIS476	FBPIS476-11	KM373661	ZSM
FBPIS482BayFi 6397	513109	FBPIS482	FBPIS482-11	KM373683	ZSM
FBPIS483BayFi 6447	513618	FBPIS483	FBPIS483-11	KM373682	ZSM
FBPIS489BayFi 6689	513431	FBPIS489	FBPIS489-11	KM373647	ZSM
FBPIS493BayFi 6767	513371	FBPIS493	FBPIS493-11	KM373681	ZSM
FBPIS497BayFi 6942	513307	FBPIS497	FBPIS497-11	KM373643	ZSM
FBPIS499BayFi 6958	513112	FBPIS499	FBPIS499-11	KM373666	ZSM
FBPIS502BayFi 6977	513372	FBPIS502	FBPIS502-11	KM373659	ZSM
FBPIS503BayFi 6996	513243	FBPIS503	FBPIS503-11	KM373645	ZSM
FBPIS509BayFi 7210	513534	FBPIS509	FBPIS509-11	KM373649	ZSM
FBPIS510BayFi 7211	513535	FBPIS510	FBPIS510-11	KM373668	ZSM
FBPIS515BayFi 7391	513310	FBPIS515	FBPIS515-11	KM373667	ZSM
FBPIS516BayFi 7426	513162	FBPIS516	FBPIS516-11	KM373684	ZSM
FBPIS525BayFi 8072	513620	FBPIS525	FBPIS525-11	KM373646	ZSM
FBPIS528BayFi 8113	513244	FBPIS528	FBPIS528-11	KM373675	ZSM
FBPIS531BayFi 8394	513114	FBPIS531	FBPIS531-11	KM373658	ZSM
FBPIS535BayFi 847	513313	FBPIS535	FBPIS535-11	KM373638	ZSM
FBPIS541BayFi 8706	513167	FBPIS541	FBPIS541-11	KM373673	ZSM
FBPIS542BayFi 8714	513246	FBPIS542	FBPIS542-11	KM373637	ZSM
FBPIS549BayFi9234	513412	FBPIS549	FBPIS549-11	KM373641	ZSM
FBPIS550BayFi9866	513413	FBPIS550	FBPIS550-11	KM373670	ZSM
FBPIS551BayFi9976	513414	FBPIS551	FBPIS551-11	KM373676	ZSM
FBPIS553MG-084	513340	FBPIS553	FBPIS553-11	KM373654	ZSM
FBPIS554MG-100	513355	FBPIS554	FBPIS554-11	KM373686	ZSM
Coregonen01A10	500424	MV82	GERFW001-13	KM286533	MfN
Coregonen01A11	500425	MV83	GERFW002-13	KM286534	MfN
Coregonen01A12	500426	MV84	GERFW003-13	KM286535	MfN
Coregonen01A2	500416	MV4	GERFW004-13	KM286536	MfN
Coregonen01A3	500417	MV5	GERFW005-13	KM286537	MfN
Coregonen01A4	500418	MV20	GERFW006-13	KM286538	MfN
Coregonen01A5	500419	MV21	GERFW007-13	KM286539	MfN
Coregonen01A6	500420	MV22	GERFW008-13	KM286540	MfN
Coregonen01A8	500422	MV56	GERFW009-13	KM286541	MfN
Coregonen01A9	500423	MV57	GERFW010-13	KM286542	MfN
Coregonen01B10	500436	MV215	GERFW011-13	KM286543	MfN
Coregonen01B11	500437	MV216	GERFW012-13	KM286544	MfN
Coregonen01B4	500430	MV157	GERFW013-13	KM286545	MfN
Coregonen01B5	500431	MV162	GERFW014-13	KM286546	MfN
Coregonen01B9	500435	MV203	GERFW016-13	KM286548	MfN
Coregonen01C1	500439	MV242	GERFW017-13	KM286549	MfN
Coregonen01C10	500448	MV297	GERFW018-13	KM286532	MfN
Coregonen01C12	500450	MV299	GERFW020-13	KM286551	MfN
Coregonen01C2	500440	MV243	GERFW021-13	KM286552	MfN
Coregonen01C3	500441	MV244	GERFW022-13	KM286553	MfN
Coregonen01C5	500443	MV251	GERFW023-13	KM286554	MfN
Coregonen01C7	500445	MV268	GERFW024-13	KM286555	MfN
Coregonen01C8	500446	MV269	GERFW025-13	KM286556	MfN
Coregonen01C9	500447	MV270	GERFW026-13	KM286557	MfN
Coregonen01D1	500451	MV321	GERFW027-13	KM286558	MfN
Coregonen01D10	500460	MV463	GERFW028-13	KM286559	MfN
Coregonen01D11	500461	MV464	GERFW029-13	KM286560	MfN
Coregonen01D12	500462	MV494	GERFW030-13	KM286561	MfN
Coregonen01D2	500452	MV322	GERFW031-13	KM286562	MfN
Coregonen01D3	500453	MV323	GERFW032-13	KM286563	MfN
Coregonen01D4	500454	MV365	GERFW033-13	KM286564	MfN
Coregonen01D5	500455	MV367	GERFW034-13	KM286565	MfN
Coregonen01D6	500456	MV368	GERFW035-13	KM286566	MfN
Coregonen01D7	500457	MV389	GERFW036-13	KM286567	MfN
Coregonen01D9	500459	MV462	GERFW037-13	KM286568	MfN
Coregonen01E10	500472	MV673	GERFW038-13	KM286569	MfN
Coregonen01E12	500474	MV696	GERFW039-13	KM286570	MfN
Coregonen01E3	500465	MV523	GERFW040-13	KM286571	MfN
Coregonen01E4	500466	MV524	GERFW041-13	KM286572	MfN
Coregonen01E5	500467	MV525	GERFW042-13	KM286573	MfN
Coregonen01E6	500468	MV646	GERFW043-13	KM286574	MfN
Coregonen01E9	500471	MV672	GERFW044-13	KM286575	MfN
Coregonen01F10	500484	MV767	GERFW045-13	KM286576	MfN
Coregonen01F11	500485	MV783	GERFW046-13	KM286577	MfN
Coregonen01F12	500486	MV784	GERFW047-13	KM286578	MfN
Coregonen01F9	500483	MV766	GERFW048-13	KM286579	MfN
Coregonen01G10	500496	SH135	GERFW049-13	KM286580	MfN
Coregonen01G11	500497	SH219	GERFW050-13	KM286581	MfN
Coregonen01G4	500490	MV812	GERFW051-13	KM286582	MfN
Coregonen01G9	500495	SH134	GERFW052-13	KM286583	MfN
Coregonen01H11	500509	BS886	GERFW053-13	KM286611	MfN
Coregonen01H3	500501	SH311	GERFW054-13	KM286584	MfN
Coregonen01H4	500502	SH312	GERFW055-13	KM286585	MfN
Coregonen01H5	500503	AR7	GERFW056-13	KM286586	MfN
Coregonen01H6	500504	AR8	GERFW057-13	KM286587	MfN
Coregonen01H7	500505	AR9	GERFW058-13	KM286588	MfN
FSJF-2002	500690	Ex02A1	GERFW059-13	KM286446	ZFMK
FSJF-470	500699	Ex02A10	GERFW060-13	KM287064	ZFMK
FSJF-776	500701	Ex02A12	GERFW061-13	KM287057	ZFMK
FSJF-2002	500691	Ex02A2	GERFW062-13	KM286442	ZFMK
FSJF-2002	500692	Ex02A3	GERFW063-13	KM286445	ZFMK
FSJF-DNA-224	500693	Ex02A4	GERFW064-13	KM286676	ZFMK
FSJF-1611	500696	Ex02A7	GERFW065-13	KM286444	ZFMK
FSJF-1611	500697	Ex02A8	GERFW066-13	KM286443	ZFMK
FSJF-1611	500698	Ex02A9	GERFW067-13	KM286447	ZFMK
FSJF-776	500702	Ex02B1	GERFW068-13	KM287063	ZFMK
FSJF-DNA-419	500711	Ex02B10	GERFW069-13	KM286411	ZFMK
FSJF-DNA-419	500712	Ex02B11	GERFW070-13	KM286410	ZFMK
FSJF-6	500704	Ex02B3	GERFW071-13	KM287067	ZFMK
FSJF-6	500705	Ex02B4	GERFW072-13	KM287066	ZFMK
FSJF-3276	500723	Ex02C10	GERFW073-13	KM287130	ZFMK
FSJF-472	500716	Ex02C3	GERFW074-13	KM286418	ZFMK
FSJF-426	500717	Ex02C4	GERFW075-13	KM286459	ZFMK
FSJF-473	500722	Ex02C9	GERFW076-13	KM287144	ZFMK
FSJF-790	500726	Ex02D1	GERFW077-13	KM286671	ZFMK
FSJF-501	500775	Ex02H2	GERFW078-13	KM286669	ZFMK
