Catalog Nr.	Type status	Order	Family	Genus Name	Species Name	Author	Date descr.	Determined by	Date det.	Country	Locality	Lat	Long	Lat_dec	Long_dec	coord_uncertainty_flag	Ecology	Altitude	Depth	Date	Collector	Collectors	Specimens	Notes	Host	last modified
ZFMK Cr00058		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sardinien						Algen				Collector58	Collector58				31.iii.2015
ZFMK Cr00059		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sardinien						Algen				Collector59	Collector59				31.iii.2015
ZFMK Cr00060		Amphipoda	Corophiidae	Caprella	hirsuta	Mayer	1890			Italy	Sadinien NW							0	0		Collector60	Collector60		C. H. f. longimana, gefunden auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00061		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Spain	Roquetas Puerto G. v. Almeira								1,5		Collector61	Collector61		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00062		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Croatia	Rovinj, langassum iw.						Stadt, Felsen				Collector62	Collector62				31.iii.2015
ZFMK Cr00063		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Collector63	Collector63		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00064		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Collector64	Collector64				31.iii.2015
ZFMK Cr00065		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Collector65	Collector65				31.iii.2015
ZFMK Cr00066		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Collector66	Collector66				31.iii.2015
ZFMK Cr00067		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Collector67	Collector67				31.iii.2015
ZFMK Cr00068		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Croatia	Rovinj, N Adria						Stadt, Felsen		1-2		Collector68	Collector68				31.iii.2015
ZFMK Cr00069		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector69	Collector69		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00070		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector70	Collector70		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00071		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector71	Collector71		on Halopteris filicina	Halopteris filicina	31.iii.2015
