Catalog Nr.	Type status	Order	Family	Genus Name	Species Name	Author	Date descr.	Determined by	Date det.	Country	Locality	Lat	Long	Lat_dec	Long_dec	coord_uncertainty_flag	Ecology	Altitude	Depth	Date	Collector	Collectors	Specimens	Notes	Host	last modified
ZFMK Cr00034		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Krapp	Krapp		Amphiottussand (?)		31.iii.2015
ZFMK Cr00035		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00036		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp				31.iii.2015
ZFMK Cr00037		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Krapp	Krapp		Amphiottussand (?)		31.iii.2015
ZFMK Cr00038		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Ischia, St. Anna, G.v. Napoli						Geröll, Kies				Krapp	Krapp				31.iii.2015
ZFMK Cr00039		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp				31.iii.2015
ZFMK Cr00040		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp		Kasamay(?)		31.iii.2015
ZFMK Cr00041		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Ischia										Krapp	Krapp		Posidonia gerufissi, Messina	Posidonia gerufissi, Messina	31.iii.2015
ZFMK Cr00042		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp				31.iii.2015
ZFMK Cr00043		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Ischia										Krapp	Krapp		Posidonia gerufissi, Messina	Posidonia gerufissi, Messina	31.iii.2015
ZFMK Cr00044		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli										Krapp	Krapp		Amphiottussand (?)		31.iii.2015
ZFMK Cr00045		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli										Krapp	Krapp		Amphiottussand (?)		31.iii.2015
ZFMK Cr00046		Amphipoda	Gammaridae	Gammarus	crinicornis	Stock	1966			Spain	Hotel Foriada Roquetas d. mare						Seegras angespült				Krapp	Krapp				31.iii.2015
ZFMK Cr00047		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp				31.iii.2015
ZFMK Cr00048		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp				31.iii.2015
ZFMK Cr00049		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Krapp	Krapp				31.iii.2015
ZFMK Cr00050		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia										Krapp	Krapp		Amphiottussand (?)		31.iii.2015
ZFMK Cr00051		Amphipoda	Gammaridae	Gammarella	fucicola	Leach	1814			Italy	Ischia-ponte, G. v. Napoli						Algen				Krapp	Krapp				31.iii.2015
ZFMK Cr00052		Amphipoda	Gammaridae	Gammarella	fucicola	Leach	1814			Italy	Ischia-ponte, G. v. Napoli						Algen				Krapp	Krapp				31.iii.2015
ZFMK Cr00053		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Sicilia, Messina						Oberflächliche Algen				Krapp	Krapp				31.iii.2015
ZFMK Cr00054		Amphipoda	Gammaridae	Gammarus	crinicornis	Stock	1966			Spain	Hotel Foriada Roquetas d. mare						Seegras angespült			14.viii.1986	Krapp	Krapp				31.iii.2015
ZFMK Cr00055		Amphipoda	Gammaridae	Gammarus	crinicornis	Stock	1966			Spain	Hotel Foriada Roquetas d. mare						Seegras angespült			14.viii.1986	Krapp	Krapp				31.iii.2015
ZFMK Cr00056		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sicilia, latania						Küstenalgen				Krapp	Krapp				31.iii.2015
ZFMK Cr00057		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sardinien						Algen				Krapp	Krapp				31.iii.2015
ZFMK Cr00058		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sardinien						Algen				Krapp	Krapp				31.iii.2015
ZFMK Cr00059		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sardinien						Algen				Krapp	Krapp				31.iii.2015
ZFMK Cr00060		Amphipoda	Corophiidae	Caprella	hirsuta	Mayer	1890			Italy	Sadinien NW							0	0		Krapp	Krapp		C. H. f. longimana, gefunden auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00061		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Spain	Roquetas Puerto G. v. Almeira								1,5		Krapp	Krapp		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00062		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Croatia	Rovinj, langassum iw.						Stadt, Felsen				Krapp	Krapp				31.iii.2015
ZFMK Cr00063		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Krapp	Krapp		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00064		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Krapp	Krapp				31.iii.2015
ZFMK Cr00065		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Krapp	Krapp				31.iii.2015
ZFMK Cr00066		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Krapp	Krapp				31.iii.2015
ZFMK Cr00067		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Italy	Ischia-ponte, G. v. Napoli								0,5		Krapp	Krapp				31.iii.2015
ZFMK Cr00068		Amphipoda	Corophiidae	Caprella	liparotensis	Haller	1879			Croatia	Rovinj, N Adria						Stadt, Felsen		1-2		Krapp	Krapp				31.iii.2015
ZFMK Cr00069		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00070		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00071		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00072		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00073		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00074		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00075		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00076		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00077		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00078		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00079		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00080		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00081		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00082		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00083		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00084		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00085		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00086		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Croatia	Rovinj, N Adria						Stadt				Krapp	Krapp		on Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00087		Amphipoda	Corophiidae	Pseudoprotella	phasma	Montagu	1804			Italy	Ischia, G. v. Napoli										Krapp	Krapp		on Halimeda (?)	Halimeda(?)	31.iii.2015
ZFMK Cr00088		Amphipoda	Corophiidae	Caprella	grandimana cf.	Mayer	1882			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00089		Amphipoda	Corophiidae	Caprella	grandimana cf.	Mayer	1882			Italy	Ischia-ponte, G. v. Napoli										Krapp	Krapp		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00090		Decapoda	Portunidae	Portunus	aripatus					Italy	Neapel									10.iv.1885						31.iii.2015
ZFMK Cr00091		Decapoda	Portunidae	Portunus	puber	Linnaeus				Italy (?)	Mentone (Weltweit mehrmals, aber nicht in Italien)									1878						31.iii.2015
ZFMK Cr00092		Decapoda	Xanthidae	Xantho	poressa	Olivi	1792			Italy	Neapel									2.iv.1885						31.iii.2015
ZFMK Cr00093		Decapoda	Grapsidae	Eriocheir	sinensis	H. Milne Edwards	1853				Achterwehr Schiffahrtskanal (Ringkanal) Eiderstrecke, beginnend am Nordostsee-Kanal						Süßwasser			ix.1986	D. Cerny	Cerny, D.				31.iii.2015
ZFMK Cr00094										Brasil	Petrobras(?), nahe Rio Yaguaripe									29.vi.1974	K.-H. Lüling	Lüling, K.-H.				31.iii.2015
ZFMK Cr00095										Nigeria	Hgotel Mts., nahe Grenze zu Kamerun									25.iii.88	G. Nikolaus	Nikolaus, G.				31.iii.2015
ZFMK Cr00096																										31.iii.2015
ZFMK Cr00097		Decapoda	Potamidae	Potamon	potamios	Bott				Turkey	NO Hopa, 400m (Prov. Artvin)						Straßenrand mit Sambucusnigra, Pteridium aquilinum, nahe Bach unter Stein			18.viii.1988	M. Franzen	Franzen, M.		1 eitragendes Weibchen, 49		31.iii.2015
ZFMK Cr00098										Peru	ca. 200m vom Ufer des Chipiriri entfernt						unter einem morschen stück Holz am Boden			x.1966	K.-H. Lüling	Lüling, K.-H.				31.iii.2015
ZFMK Cr00099		Decapoda	Polybiidae	Liocarcinus	holsatus	Fabricius	1798			Germany	Nordfriesland, Nordsee, zwischen Norderoog und Pellworm									18.iv.1972	K. Busse	Busse, K.		from Portunus, 58		31.iii.2015
ZFMK Cr00100		Decapoda	Porcellanidae	Petrolisthes	violaceus			Busse, K.		Chile	Quintero, Brandungszone									17.x.1981	K. Busse	Busse, K.				31.iii.2015
ZFMK Cr00101		Decapoda	Porcellanidae	Petrolisthes	laevigatus	Guérin	1835	Busse, K.		Chile	Quintero, Brandungszone									17.x.1981	K. Busse	Busse, K.				31.iii.2015
ZFMK Cr00102										Thailand	Beh. 1.7, Golf von Thailand bei Hua-Hin, 150kn SW Bankok									vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00103										Thailand	Beh. 1.7, Golf von Thailand bei Hua-Hin, 150kn SW Bankok									vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00104											Beh. 1.10, Tiefebene, 20km N vom Mekhonh-Fluß in Laos, 30 km E von Muang-Pak-Lay, 100 km W von Vientiane/Laos							400		viii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00105											Beh. 1.8 Golf von Thailand bei Laem-Ngop, 270 km SE Bangkok									vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00106										Thailand	beh. 22, 5 km östl. Nakhon-Sawan, central-Thailand							90		vii.1986	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00107										Thailand	Insel Ko Samae-san 10km SE von Sattahip, 135 km SE Bankok, Golf von Thailand									vii.1989	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00108																										31.iii.2015
ZFMK Cr00109										Jugoslawien	Pakostane									28.viii.1972	R. Hutterer	Hutterer, R.				31.iii.2015
ZFMK Cr00110										Uganda	Kilembe									viii.1996	D. Modry & P. Necas	Modry, D./Necas, P.				31.iii.2015
ZFMK Cr00111											Neochorio, Destrikt Paphos, Zypern									15.xii.1989	Boye & Wiedl	Boye/Wiedl				31.iii.2015
ZFMK Cr00112										Cuba	Feld Nr. 5901									ix./x.1979	Václav lanka	Václav lanka		zusammen mit Meeresfischen		31.iii.2015
ZFMK Cr00113										Cuba	Anear Ancud, Insel Chiloé									4.iii.1993	Busse	Busse, K.				31.iii.2015
ZFMK Cr00114										Cuba	Anear Ancud, Insel Chiloé									4.iii.1993	Busse	Busse, K.				31.iii.2015
ZFMK Cr00115											Nangomi Bay, östliche Karpas-Halbinsel, Nord Zypern									27.iii.1989	Boye	Boye				31.iii.2015
ZFMK Cr00116										Paraguay	Chaco: Filadelfia									v.1989	Unger	Unger				31.iii.2015
ZFMK Cr00117										Rwanda	Rusumo						Schnellfließender Bach									31.iii.2015
ZFMK Cr00118		Branchiopoda	Triopsidae	Triops (?)	caueriformis					France	Lac d'Opoul, bei Opoul(Nähe Perpignan, Dept. PyrénÉes- Orientales)									11.iv.1983						31.iii.2015
ZFMK Cr00119																										31.iii.2015
ZFMK Cr00120											Paguera W  Palma de Mallorca									9.iii.1990	M. & R. Vianden	Vianden, M./Vianden, R.				31.iii.2015
ZFMK Cr00121										Dominica	Freshwater Cave									16.i.1986	Schulz	Schulz				31.iii.2015
ZFMK Cr00122		Decapoda	Polybiidae	Liocarcinus	depurator	Linnaeus	1758			Italy	Neapel									10.iv.1885				from Portunus		31.iii.2015
ZFMK Cr00123		Decapoda	Cancridae	Eriphia	spinifrons	Herbst				Italy	Neapel									6.vi.1885						31.iii.2015
ZFMK Cr00124										Peru	Unterlauf des Rio Subte (7 km unterhalb Tingo Maria; etwa 1 km vor Mündung in Huallaga) Unter Uferböschung mit Stillwasser									30.vi.1966	K.-H. Lüling	Lüling, K.-H.				31.iii.2015
ZFMK Cr00125										Bolivia	lehmtrüber Bach am Flugplatz Todos Santos									28.ix.1966	K.-H. Lüling	Lüling, K.-H.		in 5 versch. Distr.		31.iii.2015
ZFMK Cr00126		Decapoda	Polybiidae	Liocarcinus	holsatus	Fabricius	1798	Hutterer, R.			Grundkurs 1969, Zool. Inst. Univ. Hamburg, Wahrscheinl. Biol. Anstalt Helgoland									1969	R. Hutterer	Hutterer, R.				31.iii.2015
ZFMK Cr00127										Thailand	Beh. 1.6, The Manao, 30 km NW Ranchanaburi, 145 KM NW Bankok							120		vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00128										Thailand	Insel Ko Samae-san 10km SE von Sattahip, 135 km SE Bankok, Golf von Thailand									vii.1989	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00129											Halling Norderoog						ausgetrockneter Gezeitentümpel			29.v.1982	Busse	Busse, K.				31.iii.2015
ZFMK Cr00130		Decapoda	Potamidae	Potamon (Telphusa)	fluviatilis	Latreille	1828				Oued Bisera und neben….									1893				Name und beschreiber passen nicht zusammen!		31.iii.2015
ZFMK Cr00131										Thailand	Insel Ko Samae-san 10km SE von Sattahip, 135 km SE Bankok, Golf von Thailand									vii.1989	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00132										Thailand	Beh. 1.7 Golf von Thailand, near Hua-Hin, 150 km SW Bankok									vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00133		Decapoda	Portunidae	Lupea	haslata (?)					Italy	Neapel									26.v.1885						31.iii.2015
ZFMK Cr00134		Decapoda	Majidae	Pisa	tetradon	Pennant	1777			Italy	Mittelmeer, Neapel, Zool. Fl.									20.v.1885						31.iii.2015
ZFMK Cr00135		Decapoda	Goneplacidae	Goneplax	rhomboides	Linnaeus	1758			Italy	Neapel									10.iv.1885						31.iii.2015
ZFMK Cr00136										Sudan	near Kagelu / S Yei									20.vii.1978	G. Nikolaus	Nikolaus, G.		A 1094		31.iii.2015
ZFMK Cr00137										Kamerun	Lager V bei (?)							600		ii.1958	M. Eisenhut	Eisenhut, M.				31.iii.2015
ZFMK Cr00138									1990	Brasil	State Sergipe, Municip Ribeirápolis									1975-78	Schüler	Schüler				31.iii.2015
ZFMK Cr00139										Thailand	Beh. 21.8 , Golf von Thailand, near Laem-Ngop, 270 km se Bankok									vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00140				Brachynotus	sexdentatus	Risso	1827			Italy	Neapel									25.vi.1885				Syn.: Heterograpsus lucasi, incertae sedis, 8		31.iii.2015
ZFMK Cr00141										Thailand	Beh. 1.8 Golf von Thailand bei Laem-Ngop, 270 km SE Bangkok									vii.1988	W. Thielen	Thielen, W.				31.iii.2015
ZFMK Cr00142		Decapoda	Potamidae	Potamon	potamios	Olivier	1804	Krapp	1988	Turkey	Harbiye, S Antakya (Vil. Hatay)						Quellbach mit Platanenwald			15.iii.1988	M. Franzen	Franzen, M.				31.iii.2015
ZFMK Cr00143										Spain	Kanarische Inseln, Puerto de Güimar										Bischoff & Hutterer	Bischoff/Hutterer				31.iii.2015
ZFMK Cr00144										Italy	Neapel									1885						31.iii.2015
ZFMK Cr00145										(Cuba?)	Feld Nr. 1801															31.iii.2015
ZFMK Cr00146										(Cuba?)	Feld Nr. 1801															31.iii.2015
ZFMK Cr00147										Jugoslawien	Pakostane									28.viii.1972	Hutterer	Hutterer, R.				31.iii.2015
ZFMK Cr00148		Decapoda	Cancridae	Eriphia	spinifrons					Italy	Capri									31.vii.1885						31.iii.2015
ZFMK Cr00149		Decapoda	Inachidae	Inachus	dorsettensis	Pennant	1777			Italy	Neapel									9.iv.1885						31.iii.2015
ZFMK Cr00150											Fuerteventura						Gezeitentümpel			14.xii.1983	Witt	Witt				31.iii.2015
ZFMK Cr00151		Decapoda	Grapsidae	Pachygrapsus	marmoratus	Fabricius	1787			Italy	Capri									vii.1885						31.iii.2015
ZFMK Cr00152										Malaysia	Pulau Tioman									vii.1980	Kiehlmann	Kiehlmann				31.iii.2015
